dish_1560455030,20.59,103,0.148,4.625,0.956,ingr_0000000471,cherry tomatoes,55,9.9,0.11,2.145,0.495,ingr_0000000031,cucumbers,29,2.9,0,0.58,0.29,ingr_0000000347,baby carrots,19,7.79,0.038,1.9,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1565640549,45.482903,139,1.568471,7.043886,2.641478,ingr_0000000032,tomatoes,10.700637,3.63821658,0.074904459,0.727643316,0.074904459,ingr_0000000523,cilantro,1.070064,0.243974592,0.00535032,0.039592368,0.023541408,ingr_0000000161,olive oil,1.070064,9.45936576,1.070064,0,0,ingr_0000000526,mustard greens,21.401274,5.77834398,0.085605096,1.005859878,0.620636946,ingr_0000000520,lemon juice,1.605096,0.27286632,0,0.089885376,0.006420384,ingr_0000000094,onions,2.140127,0.8560508,0.002140127,0.19261143,0.023541397,ingr_0000000031,cucumbers,10.700637,1.0700637,0,0.21401274,0.10700637,ingr_0000000291,salt,0.133758,0,0,0,0,ingr_0000000515,arugula,32.10191,8.0254775,0.22471337,1.18777067,0.83464966,ingr_0000000448,jalapenos,1.070064,0.31031856,0.004280256,0.06955416,0.009630576,ingr_0000000014,asparagus,34,6.936,0.034,1.326,0.748,ingr_0000000367,lime,1.605096,0.4815288,0.003210192,0.16853508,0.011235672,ingr_0000000349,mangos,10.700637,6.484586022,0.042802548,1.60509555,0.085605096,ingr_0000000471,cherry tomatoes,10.700637,1.92611466,0.021401274,0.417324843,0.096305733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558549008,20.700001,115,0.23,4.485,1.035,ingr_0000000471,cherry tomatoes,115,20.7,0.23,4.485,1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1566920365,490.421692,871,5.324439,41.393566,60.675976,ingr_0000000475,salsa,141,40.89,0.282,9.306,2.115,ingr_0000000437,sweet potato,156.097565,118.6341494,0,28.0975617,1.56097565,ingr_0000000161,olive oil,3.902439,34.49756076,3.902439,0,0,ingr_0000000128,egg whites,570,296.4,1.14,3.99,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558459276,102.699997,79,0.237,22.120001,2.133,ingr_0000000026,white rice,79,102.7,0.237,22.12,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558724031,358.710999,303,25.801001,25.789999,14.067,ingr_0000000471,cherry tomatoes,107,19.26,0.214,4.173,0.963,ingr_0000000037,cantaloupe,93,31.62,0.186,7.44,0.744,ingr_0000000077,almonds,51,294.831,25.245,11.577,11.424,ingr_0000000007,cauliflower,52,13,0.156,2.6,0.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1564761488,327.986023,336,8.358,40.558998,21.735001,ingr_0000000080,turkey bacon,21,79.737,5.901,0.651,6.111,ingr_0000000128,egg whites,105,54.6,0.21,0.735,10.5,ingr_0000000194,fried rice,97,152.969,2.134,29.003,4.559,ingr_0000000112,honeydew melons,113,40.68,0.113,10.17,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558459115,271.540009,298,10.487999,43.459003,6.616,ingr_0000000077,almonds,20,115.62,9.9,4.54,4.48,ingr_0000000054,apple,143,74.36,0.286,20.02,0.429,ingr_0000000026,white rice,32,41.6,0.096,8.96,0.864,ingr_0000000471,cherry tomatoes,61,10.98,0.122,2.379,0.549,ingr_0000000440,grapes,42,28.98,0.084,7.56,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558720236,887.823059,407,66.440002,60.460999,31.913002,ingr_0000000054,apple,143,74.36,0.286,20.02,0.429,ingr_0000000045,carrot,74,30.34,0.148,7.4,0.666,ingr_0000000007,cauliflower,57,14.25,0.171,2.85,1.026,ingr_0000000077,almonds,133,768.873,65.835,30.191,29.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558380557,699.320068,212,54.440002,24.960001,32.732002,ingr_0000000440,grapes,52,35.88,0.104,9.36,0.364,ingr_0000000077,almonds,48,277.488,23.76,10.896,10.752,ingr_0000000039,sausage,112,385.952,30.576,4.704,21.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dish_1558724959,581.441956,426,36.466,57.004002,21.298,ingr_0000000016,brussels sprouts,118,50.74,0.354,10.62,4.012,ingr_0000000045,carrot,75,30.75,0.15,7.5,0.675,ingr_0000000077,almonds,72,416.232,35.64,16.344,16.128,ingr_0000000054,apple,161,83.72,0.322,22.54,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
